workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
0,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
1,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,39ZSFO5CA8WMF2BTWYJURW29FVCJUA,1,Approved,Fri May 19 02:06:57 PDT 2017,Thu May 18 09:22:04 PDT 2017,Thu May 18 09:26:57 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.7873833333333335,[]
2,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3EJPLAJKEMGRD6QWI2ODZKCJV77Z69,2,Approved,Fri May 19 02:07:37 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:27:37 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,5.268,[]
3,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,37Z929RLG980ESFUJN2YE17US0ITS9,3,Approved,Fri May 19 02:07:48 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:27:48 PDT 2017,Thu May 18 09:32:33 PDT 2017,,,,,1,4.04175,[]
4,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3T3IWE1XG6NO1C0HRJDTJ1STACXTQK,4,Approved,Fri May 19 02:08:44 PDT 2017,Thu May 18 09:22:00 PDT 2017,Thu May 18 09:28:44 PDT 2017,Thu May 18 09:32:33 PDT 2017,,,,,1,6.442366666666667,[]
5,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3TMSXRD2X60SCPKU19SP5KRK6UO1WO,5,Approved,Fri May 19 02:09:01 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:29:01 PDT 2017,Thu May 18 09:32:33 PDT 2017,,,,,1,4.767283333333333,[]
6,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3EO896NRAWV7FPW4WTTKM0G7WH5JTJ,6,Approved,Fri May 19 02:09:09 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:29:09 PDT 2017,Thu May 18 09:32:33 PDT 2017,,,,,1,6.996716666666667,[]
7,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,34X6J5FLPTYUN94CFPZPHV5KCA6JQ5,7,Approved,Fri May 19 02:09:23 PDT 2017,Thu May 18 09:22:00 PDT 2017,Thu May 18 09:29:23 PDT 2017,Thu May 18 09:32:34 PDT 2017,,,,,1,6.980666666666667,[]
8,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,30BXRYBRP4X3G0583YVAX77RNJJWHH,8,Approved,Fri May 19 02:09:26 PDT 2017,Thu May 18 09:22:04 PDT 2017,Thu May 18 09:29:26 PDT 2017,Thu May 18 09:32:34 PDT 2017,,,,,1,7.268433333333333,[]
9,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,3A1PQ49WVHHAFZP56A6P4HHXR6AH13,9,Approved,Fri May 19 02:10:12 PDT 2017,Thu May 18 09:22:02 PDT 2017,Thu May 18 09:30:12 PDT 2017,Thu May 18 09:32:34 PDT 2017,,,,,1,8.11715,[]
